dataset,true_winner,pred_winner,correct,tied
dataset_1000_hypothyroid,,,False,True
dataset_1002_ipums_la_98-small,,,False,True
dataset_1004_synthetic_control,,,False,True
dataset_1014_analcatdata_dmft,SMOTE+KNN,,,False
dataset_1016_vowel,,,False,True
dataset_1018_ipums_la_99-small,,,False,True
dataset_1020_mfeat-karhunen,,,False,True
dataset_1021_page-blocks,,,False,True
dataset_1022_mfeat-pixel,,,False,True
dataset_1023_soybean,,,False,True
dataset_1049_pc4,,KNNWeighted,False,True
dataset_1050_pc3,KNNWeighted,,,False
dataset_1056_mc1,,KNNFairRankJackknife,False,True
dataset_1061_ar4,KNNWeighted,KNNWeighted,True,False
dataset_1065_kc3,,KNNFairRankJackknife,False,True
dataset_311_oil_spill,,KNNWeighted,False,True
dataset_312_scene,,,False,True
dataset_316_yeast_ml8,KNNFairRankJackknife,,,False
dataset_38_sick,,,False,True
dataset_463_backache,SMOTE+KNN,KNNWeighted,False,False
dataset_757_meta,KNNFairRankJackknife,KNNWeighted,False,False
dataset_764_analcatdata_apnea3,,SMOTE+KNN,False,True
dataset_765_analcatdata_apnea2,,SMOTE+KNN,False,True
dataset_767_analcatdata_apnea1,,SMOTE+KNN,False,True
dataset_867_visualizing_livestock,,KNNWeighted,False,True
dataset_940_water-treatment,,SMOTE+KNN,False,True
dataset_947_arsenic-male-bladder,,KNNWeighted,False,True
dataset_949_arsenic-female-bladder,,SMOTE+KNN,False,True
dataset_954_spectrometer,,,False,True
dataset_958_segment,,,False,True
dataset_962_mfeat-morphological,,KNNFairRankJackknife,False,True
dataset_966_analcatdata_halloffame,,KNNFairRankJackknife,False,True
dataset_968_analcatdata_birthday,KNNWeighted,KNNFairRankJackknife,False,False
dataset_971_mfeat-fourier,,,False,True
dataset_976_JapaneseVowels,,KNNFairRankJackknife,False,True
dataset_978_mfeat-factors,,,False,True
dataset_980_optdigits,,,False,True
dataset_984_analcatdata_draft,,SMOTE+KNN,False,True
dataset_987_collins,,,False,True
dataset_995_mfeat-zernike,,,False,True
