dataset,label,pred,correct
dataset_1000_hypothyroid,1,1,True
dataset_1002_ipums_la_98-small,1,1,True
dataset_1004_synthetic_control,0,1,False
dataset_1014_analcatdata_dmft,1,1,True
dataset_1016_vowel,0,1,False
dataset_1018_ipums_la_99-small,1,1,True
dataset_1020_mfeat-karhunen,0,1,False
dataset_1021_page-blocks,1,1,True
dataset_1022_mfeat-pixel,1,1,True
dataset_1023_soybean,1,1,True
dataset_1049_pc4,1,1,True
dataset_1050_pc3,1,1,True
dataset_1056_mc1,1,1,True
dataset_1061_ar4,1,1,True
dataset_1065_kc3,1,1,True
dataset_311_oil_spill,1,1,True
dataset_312_scene,1,1,True
dataset_316_yeast_ml8,1,1,True
dataset_38_sick,1,1,True
dataset_463_backache,1,1,True
dataset_757_meta,1,1,True
dataset_764_analcatdata_apnea3,1,1,True
dataset_765_analcatdata_apnea2,1,1,True
dataset_767_analcatdata_apnea1,1,1,True
dataset_867_visualizing_livestock,1,1,True
dataset_940_water-treatment,1,1,True
dataset_947_arsenic-male-bladder,0,1,False
dataset_949_arsenic-female-bladder,1,1,True
dataset_954_spectrometer,1,1,True
dataset_958_segment,0,1,False
dataset_962_mfeat-morphological,0,1,False
dataset_966_analcatdata_halloffame,1,1,True
dataset_968_analcatdata_birthday,1,1,True
dataset_971_mfeat-fourier,1,1,True
dataset_976_JapaneseVowels,1,1,True
dataset_978_mfeat-factors,1,1,True
dataset_980_optdigits,1,1,True
dataset_984_analcatdata_draft,1,1,True
dataset_987_collins,1,1,True
dataset_995_mfeat-zernike,1,1,True
