algorithm,min_f1,min_precision,min_recall,maj_f1,maj_precision,maj_recall,class_gap_f1,class_gap_precision,class_gap_recall
DANNAdaptive_entropy,0.2784,0.4718,0.2342,0.9724,0.9724,0.9724,-0.6939,-0.5006,-0.7382
DANN,0.3007,0.502,0.2562,0.9686,0.9686,0.9686,-0.6679,-0.4667,-0.7124
KNNAdaptiveEigen,0.4277,0.5386,0.3929,0.9934,0.9934,0.9934,-0.5657,-0.4548,-0.6005
KNNAdaptiveEntropy,0.4679,0.5707,0.4323,0.9847,0.9847,0.9847,-0.5168,-0.414,-0.5523
KNNBaseline,0.5244,0.6157,0.4894,0.9826,0.9826,0.9826,-0.4582,-0.367,-0.4932
KNNAdaptiveDualAnchor,0.532,0.6639,0.4914,0.9854,0.9854,0.9854,-0.4534,-0.3215,-0.494
KNNOptK,0.5513,0.5886,0.539,0.9664,0.9664,0.9664,-0.4151,-0.3778,-0.4274
KNNAdaptiveTopo,0.5615,0.5832,0.5637,0.9473,0.9473,0.9473,-0.3858,-0.3641,-0.3836
SMOTE+KNN,0.5527,0.4747,0.7504,0.834,0.834,0.834,-0.2813,-0.3593,-0.0836
SMOTE+KNNOptK,0.6352,0.5928,0.7294,0.9069,0.9069,0.9069,-0.2717,-0.3141,-0.1775
KNNFairRank,0.5367,0.4313,0.8639,0.7992,0.7992,0.7992,-0.2625,-0.3679,0.0648
KNNFairRankCV,0.5912,0.5156,0.8398,0.8418,0.8418,0.8418,-0.2506,-0.3261,-0.0019
KNNFairRankMagnitude,0.5316,0.4238,0.876,0.7785,0.7785,0.7785,-0.2468,-0.3547,0.0975
KNNWeighted,0.5844,0.4865,0.8144,0.8273,0.8273,0.8273,-0.2429,-0.3408,-0.0129
